	videoFile	#groundTruthWords	groundTruthWords	Noun	Adverb	Adjective	Verb	Pointers	others
0	proteinas_64.mp4	8	['Dad' 'Yes' 'eat' 'excuse' 'many' 'meat' 'portion' 'swing']	['Dad', 'eat', 'excuse', 'meat', 'portion']	[]	['many']	['swing']	[]	['Yes']
1	proteinas_70.mp4	7	['body' 'daily' 'eat' 'later' 'levels' 'need' 'tell']	['body', 'eat', 'levels', 'need', 'tell']	['later']	['daily']	[]	[]	[]
2	proteinas_58.mp4	3	['easy' 'good' 'think']	['think']	[]	['easy', 'good']	[]	[]	[]
3	proteinas_105.mp4	8	['fifth' 'good' 'kids' 'primary' 'school' 'sixth' 'tell' 'think']	['fifth', 'kids', 'primary', 'school', 'sixth', 'tell', 'think']	[]	['good']	[]	[]	[]
4	proteinas_111.mp4	6	['apart' 'break' 'contain' 'focus' 'protein' 'today']	['break', 'contain', 'focus', 'protein', 'today']	['apart']	[]	[]	[]	[]
5	proteinas_139.mp4	3	['Prices' 'one' 'share']	['Prices', 'share']	[]	[]	[]	[]	['one']
6	proteinas_138.mp4	2	['.' 'grid']	['grid']	[]	[]	[]	[]	[]
7	proteinas_110.mp4	7	"['C-A-R-B-O-H-I-D-R-A-T-O-S' 'M-I-N-E-R-A-L-E-S' 'Water' 'fat' 'mineral'
 'part' 'vitamin']"	['C-A-R-B-O-H-I-D-R-A-T-O-S', 'M-I-N-E-R-A-L-E-S', 'Water', 'fat', 'mineral', 'part', 'vitamin']	[]	[]	[]	[]	[]
8	proteinas_104.mp4	4	['approximately' 'different' 'eat' 'kids']	['eat', 'kids']	['approximately']	['different']	[]	[]	[]
9	proteinas_59.mp4	16	"['/' 'Ah' 'Group' 'Health' 'Yes' 'cheese' 'continue' 'eat' 'food' 'ingest'
 'inside' 'natural' 'normally' 'process' 'tell' 'used']"	['/', 'Ah', 'Group', 'Health', 'cheese', 'continue', 'eat', 'food', 'ingest', 'process', 'tell']	['normally']	['natural']	['used']	[]	['Yes', 'inside']
10	proteinas_71.mp4	12	"['?' 'Nn' 'eat' 'forever' 'many' 'percentage' 'qu' 'report' 'strong'
 'value' 'watch' 'within']"	['Nn', 'eat', 'percentage', 'qu', 'report', 'value', 'watch']	['forever']	['many', 'strong']	[]	[]	['within']
11	proteinas_65.mp4	8	['Meter' 'beans' 'eat' 'example' 'like' 'plant' 'salad' 'tell']	['Meter', 'beans', 'eat', 'example', 'plant', 'salad', 'tell']	[]	[]	[]	[]	['like']
12	proteinas_73.mp4	4	['C' 'E' 'Welcome' 'teacher']	['E', 'teacher']	[]	[]	['Welcome']	[]	[]
13	proteinas_67.mp4	8	['different' 'eat' 'like' 'many' 'sense' 'strong' 'think' 'within']	['eat', 'sense', 'think']	[]	['different', 'many', 'strong']	[]	[]	['like', 'within']
14	proteinas_112.mp4	3	['chicken' 'meat' 'within']	['chicken', 'meat']	[]	[]	[]	[]	['within']
15	proteinas_106.mp4	10	"['eat' 'fifth' 'grade' 'kid' 'man' 'primary' 'sixth' 'think' 'value'
 'woman']"	['eat', 'fifth', 'grade', 'kid', 'man', 'primary', 'sixth', 'think', 'value', 'woman']	[]	[]	[]	[]	[]
