	word	category	matched
0	light	NN	0
1	oven	RB	0
2	umbrella	NN	0
3	sister	NN	0
4	elephant	NN	0
5	bed	NN	0
6	we	PRP	0
7	meal	NN	0
8	inform	NN	1
9	request	NN	0
10	labor	NN	0
11	pillow	NN	0
12	hour	NN	0
13	I	PRP	0
14	god_preserve	NN	0
15	petrol	NN	0
16	egg	NN	0
17	past	NN	1
18	smell	NN	0
19	tree	NN	0
20	difficult	JJ	0
21	always	RB	0
22	comb	NN	0
23	be_pleased	VBN	0
24	star	NN	0
25	alone	RB	0
26	sugar	NN	0
27	request	NN	0
28	heavy	JJ	0
29	stain	NN	0
30	pillow	NN	0
31	teapot	NN	0
32	glove	NN	0
33	if_only	RB	0
34	married	JJ	0
35	friend	NN	0
36	bed	NN	0
37	wallet	NN	0
38	pastrami	NN	0
39	unwise	NN	0
40	lake	NN	0
41	mince	NN	0
42	smell	NN	0
43	star	NN	0
44	lightweight	NN	0
45	yesterday	NN	1
46	existing	VBG	0
47	book	NN	0
48	topple	NN	0
49	no	DT	0
50	teacher	NN	0
51	kin	NN	0
52	date	NN	0
53	sibling	VBG	0
54	wednesday	NN	0
55	cotton	NN	0
56	potato	NN	0
57	police	NNS	0
58	absent	NN	0
59	sauce	NN	0
60	memorize	NN	0
61	apologize	VB	0
62	doctor	NN	0
63	escape	NN	0
64	sweet	NN	0
65	yes	NNS	0
66	tongs	NNS	0
67	crossroads	NNS	0
68	wood	NN	0
69	voice	NN	0
70	fork	NN	0
71	bed	NN	0
72	fork	NN	0
73	mirror	NN	0
74	rent	NN	0
75	married	JJ	0
76	baby	NN	0
77	promise	NN	0
78	bridge	NN	0
79	sweet	NN	0
80	glass	NN	0
81	tax	NN	0
82	dog	NN	0
83	telephone	NN	0
84	wednesday	NN	0
85	how	WRB	0
86	tomorrow	NN	0
87	fork	NN	0
88	band-aid	NN	0
89	bed	NN	0
90	difficult	JJ	0
91	thanks	NNS	0
92	potato	NN	0
93	telephone	NN	0
94	sad	NN	0
95	always	RB	0
96	hungry	NN	0
97	free	JJ	0
98	rent	NN	0
99	hurry	NN	0
100	photograph	NN	0
101	past	NN	1
102	free	JJ	0
103	full	JJ	0
104	accident	NN	0
105	never	RB	0
106	money	NN	0
107	father	NN	0
108	shirt	NN	0
109	tea	NN	0
110	work	NN	0
111	ceiling	NN	0
112	sunday	NN	0
113	show	NN	0
114	carpet	NN	0
115	married	JJ	0
116	football	NN	0
117	promise	NN	0
118	pencil	NN	0
119	lake	NN	0
120	light	NN	0
121	male	NN	0
122	change	NN	1
123	okay	NN	0
124	tax	NN	0
125	animal	NN	0
126	petrol	NN	0
127	meal	NN	0
128	tired	VBN	0
129	fork	NN	0
130	wedding	NN	0
131	identity	NN	0
132	push	NN	1
133	petrol	NN	0
134	same	JJ	0
135	apologize	VB	0
136	medicine	NN	0
137	female	NN	0
138	memorize	NN	0
139	you	PRP	0
140	holiday	NN	0
141	cry	NN	0
142	orange	NN	0
143	how	WRB	0
144	I	PRP	0
145	if_only	RB	0
146	ill	NN	0
147	bring	NN	0
148	soap	NN	0
149	trousers	NNS	0
150	mirror	NN	0
151	fork	NN	0
152	mother	NN	0
153	you	PRP	0
154	labor	NN	0
155	yesterday	NN	0
156	bed	NN	0
157	road	NN	0
158	slow	VB	0
159	sad	NN	0
160	room	NN	0
161	tax	NN	0
162	gift	NN	0
163	coal	NN	0
164	government	NN	0
165	money	NN	0
166	alone	RB	0
167	near	IN	1
168	bad	JJ	1
169	garden	NN	0
170	orange	NN	0
171	evil	NN	0
172	same	JJ	0
173	baby	NN	0
174	government	NN	0
175	bad	JJ	1
176	single	JJ	0
177	ataturk	NN	0
178	mother	NN	0
179	soap	NN	0
180	napkin	NN	0
181	enemy	NN	0
182	picnic	NN	0
183	hungry	NN	0
184	topple	NN	0
185	soap	NN	0
186	far	RB	0
187	look	NN	1
188	no	DT	0
189	promise	NN	0
190	see	VB	0
191	family	NN	0
192	laugh	NN	0
193	hungry	NN	0
194	police	NNS	0
195	enemy	NN	0
196	not_interested	VBN	0
197	orange	NN	0
198	female	NN	0
199	single	JJ	0
200	hi	NN	0
201	carpet	NN	0
202	eat	NN	1
203	escape	NN	0
204	look	NN	1
205	pharmacy	NN	0
206	salary	NN	0
207	tired	VBN	0
208	show	NN	0
209	stairs	NNS	0
210	brother	NN	0
211	congratulations	NNS	0
212	we	PRP	0
213	wednesday	NN	0
214	see	VB	0
215	enjoy_your_meal	NN	0
216	love	NN	0
217	where	WRB	0
218	photograph	NN	0
219	border	NN	0
220	yes	NNS	0
221	sister	NN	0
222	sunday	NN	0
223	same	JJ	0
224	war	NN	1
225	tea	NN	0
226	wise	NN	0
227	identity	NN	0
228	voice	NN	0
229	lap	NN	0
230	key	NN	0
231	mirror	NN	0
232	wood	NN	0
233	mother	NN	0
234	fork	NN	0
235	yesterday	NN	1
236	hammer	NN	0
237	they	PRP	0
238	pharmacy	NN	0
239	you	PRP	0
240	scales	NNS	1
241	goodbye	NN	0
242	topple	NN	0
243	baby	NN	1
244	stairs	NNS	0
245	say	VB	0
246	who	WP	0
247	hospital	NN	0
248	doctor	NN	0
249	hat	NN	0
250	dog	NN	0
251	bill	NN	0
252	fault	NN	0
253	star	NN	0
254	date	NN	0
255	tomorrow	NN	0
256	stairs	NNS	0
257	alone	RB	0
258	tuesday	NN	0
259	bad	JJ	1
260	radiator	NN	0
261	gift	NN	0
262	drink	NN	0
263	why	WRB	0
264	allright	NN	0
265	wise	NN	0
266	free	JJ	1
267	friend	NN	0
268	always	RB	0
269	turkey	NN	0
270	wedding	NN	0
271	glass	NN	0
272	ataturk	NN	0
273	cotton	NN	0
274	forest	NN	0
275	smell	NN	0
276	picnic	NN	0
277	fault	NN	0
278	mirror	NN	0
279	soup	NN	0
280	ugly	RB	0
281	angel	NN	0
282	thursday	NN	0
283	flour	NN	0
284	wall	NN	0
285	labor	NN	0
286	football	NN	0
287	sweet	NN	0
288	no	DT	0
289	hour	NN	0
290	tap	NN	0
291	window	NN	0
292	bridge	NN	0
293	work	NN	0
294	cook	NN	0
295	family	NN	0
296	do	VB	0
297	comb	NN	0
298	minute	NN	0
299	sister	NN	0
300	work	NN	0
301	school	NN	0
302	male	NN	0
303	congratulations	NNS	0
304	god_preserve	NN	0
305	full	JJ	0
306	work	NN	0
307	halal	NN	0
308	band-aid	NN	0
309	screwdriver	NN	0
310	sunday	NN	0
311	animal	NN	0
312	hour	NN	0
313	stain	NN	0
314	pillow	NN	0
315	medicine	NN	0
316	sweet	NN	0
317	okay	NN	0
318	brother	NN	0
319	female	NN	0
320	cry	NN	0
321	milk	NN	0
322	get_well	NN	0
323	mince	NN	0
324	soap	NN	0
325	if_only	RB	0
326	cotton	NN	0
327	police	NNS	0
328	bill	NN	0
329	escape	NN	0
330	lightweight	NN	0
331	soup	NN	0
