videoFile,groundTruthWords,predictedWords,Noun,Adverb,Adjective,Verb,Pointers,others,woodward,swadesh
FZCF7kPIyOk_12-1-rgb_front.mp4,['People' 'bound' 'flip' 'going' 'injure' 'nothing' 'securely'],"['ADD' 'ALRIGHT' 'ANGRY' 'ARRIVE' 'ASK' 'BABY' 'BACK' 'BAD' 'BECKON'
 'BEST' 'BETTER' 'BOAT' 'BORN' 'BREAK' 'BUY' 'CULTURE' 'DEPTH' 'DIE'
 'DOOR' 'DREADFUL' 'EXACT' 'EXCITED' 'FAIL' 'FAVOUR' 'FEEL' 'FORWARD'
 'GOOD' 'HAPPY' 'HARD' 'HEAR' 'HELP' 'HOME' 'HOUSE' 'INVOLVE' 'LAST'
 'LIKE' 'LITTLE' 'LOOK' 'MANY' 'MEANING' 'MOTHER' 'NEWCASTLE' 'NEXT'
 'PARENTS' 'PARTNER' 'PERFECT' 'PERHAPS' 'PLAN' 'PRINT' 'RECEIVE' 'RIGHT'
 'ROAD' 'SINCE' 'SLEEP' 'STADIUM' 'START' 'STAY' 'SURPRISE' 'TEA' 'TEN'
 'THURSDAY' 'TICKET' 'TIDY' 'TRAVEL' 'TYPICAL' 'UNIT' 'UPSET' 'WAIT'
 'WALK' 'WANT' 'WRITE']","['People', 'bound', 'flip', 'injure', 'nothing']",['securely'],[],['going'],[],[],[],[]
92V3oH63zbQ_23-1-rgb_front.mp4,"['able' 'depending' 'dragging' 'get' 'going' 'guy' 'hard' 'know' 'like'
 'old' 'sitting' 'swinging' 'throws' 'zone']","['ADD' 'AEROPLANE' 'ANGRY' 'ARRIVE' 'BACK' 'BAD' 'BASE' 'BEDROOM'
 'BEHAVIOUR' 'BEST' 'BETTER' 'BOAT' 'BRING' 'BUY' 'CAMERA' 'CHURCH'
 'CLOTHES' 'DARTS' 'DEAF' 'DEPTH' 'DOOR' 'EXCITED' 'FEEL' 'FIND' 'FISH'
 'FORWARD' 'FRIDAY' 'FRIGHTENED' 'GAME' 'GIRL' 'GO' 'GOOD' 'GOVERNMENT'
 'GRANDMOTHER' 'HARD' 'HEALTHY' 'HEAR' 'HOLIDAY' 'HOUSE' 'INATTENTION'
 'INTERPRETER' 'INVOLVE' 'LATER' 'LIKE' 'LINK' 'LITTLE' 'LOOK' 'MAKE'
 'MANAGE' 'MAYBE' 'MORNING' 'MOVE' 'NEXT' 'PARTNER' 'PAY' 'PERHAPS' 'PUB'
 'READY' 'REDUCE' 'RELATIONSHIP' 'RELAX' 'SCHOOL' 'SCOTLAND' 'SHOULDER'
 'SLEEP' 'SOON' 'START' 'STRESS' 'SUPPORT' 'SURPRISE' 'TIRED' 'TITLE'
 'TRAIN' 'TRAVEL' 'TYPICAL' 'UNIT' 'WAIT' 'WALES' 'WEDNESDAY' 'WONDERFUL'
 'YES']","['guy', 'throws', 'zone']",[],"['able', 'hard', 'old']","['depending', 'dragging', 'get', 'going', 'know', 'sitting', 'swinging']",[],['like'],['old'],"['know', 'sitting']"
-fZc293MpJk_5-1-rgb_front.mp4,"['Therefore' 'adjusts' 'air' 'downhill' 'earlier' 'either' 'flat' 'going'
 'speed' 'talked' 'uphill']","['AGE' 'AREA' 'ASK' 'BAD' 'BEDROOM' 'BORING' 'CHILD' 'COLD' 'COMPUTER'
 'DEAF' 'DEPTH' 'DOOR' 'DRINK' 'DRIVE' 'EAT' 'FRIEND' 'FULL' 'FUTURE'
 'GIRL' 'HEAR' 'LATER' 'LOOK' 'LOVELY' 'PAY' 'POOR' 'PROBLEM' 'PUB'
 'RANKING' 'SCOTLAND' 'SLEEP' 'SPORT' 'STUBBORN' 'TEA' 'TRAIN' 'WAIT'
 'WALK' 'WONDERFUL' 'WORK' 'YES' 'YESTERDAY']","['adjusts', 'air', 'downhill', 'speed', 'uphill']","['Therefore', 'earlier']",['flat'],"['going', 'talked']",['either'],[],[],[]
FZrU_mEryAs_6-2-rgb_front.mp4,['also' 'child' 'could' 'fun' 'help' 'make' 'project'],"['ACT' 'AGREE' 'APPROACH' 'ARRIVE' 'ASK' 'AWARD' 'BAD' 'BUY' 'CAMERA'
 'CHANGE' 'CHEAP' 'DEAF' 'DRIVE' 'DROP' 'EAT' 'EUROPE' 'FAMILY' 'FATHER'
 'FIND' 'FOREIGN' 'FRANCE' 'FRIDAY' 'GAME' 'GOVERNMENT' 'GRANDFATHER'
 'GRANDMOTHER' 'HALF' 'HAPPEN' 'HEAR' 'HEARING' 'HOLIDAY' 'HORRIBLE'
 'HOTEL' 'INATTENTION' 'LITTLE' 'LOOK' 'MAKE' 'MEET' 'MOVE' 'NAME' 'NEAR'
 'NEW' 'NOTHING' 'OLD' 'ONE' 'OPERATE' 'PARENTS' 'PARTNER' 'PARTY'
 'PERFECT' 'POLICE' 'PUB' 'REMEMBER' 'SCOTLAND' 'SEARCH' 'SPORT' 'START'
 'STRESS' 'STUBBORN' 'SUNDAY' 'TALK' 'THING' 'TRAIN' 'TRY' 'WAIT' 'WONDER']","['child', 'fun', 'help', 'project']",['also'],[],['make'],[],['could'],['child'],[]
37ZtKNf6Yd8_1-1-rgb_front.mp4,['four' 'head' 'instrument' 'notice' 'stock' 'stringed'],"['AGE' 'AREA' 'ATTACK' 'BLACK' 'DEAF' 'DISAPPOINT' 'EIGHT' 'ETHNIC'
 'EXCITED' 'FBUOY' 'FEEL' 'FIVE' 'FLOCK' 'FOUR' 'HOLIDAY' 'HOUSE' 'LAST'
 'MORNING' 'MOVE' 'PRIEST' 'READY' 'RELAX' 'SEEM' 'SEVEN' 'SIX'
 'SPECTACLES' 'SURPRISE' 'TALK' 'TEN' 'THANK' 'THREE' 'TICKET' 'UNIT'
 'WAR' 'WORK']","['head', 'instrument', 'notice', 'stock']",[],[],['stringed'],[],['four'],[],['head']
-g45vqccdzI_3-1-rgb_front.mp4,['enough' 'get'],"['ACT' 'ALRIGHT' 'ANGRY' 'BALL' 'BASE' 'BRITAIN' 'CHAIR' 'COMMUNICATE'
 'DAY' 'DEAF' 'DISAPPOINT' 'EASY' 'EMIT' 'EVALUATE' 'FEEL' 'FIND' 'FINISH'
 'FLOCK' 'FORGET' 'FUTURE' 'GOOD' 'GROUP' 'HEALTHY' 'INATTENTION' 'LATE'
 'LEARN' 'LOOK' 'MAKE' 'MANY' 'MARRY' 'MAYBE' 'OLD' 'PARTNER' 'PARTY'
 'PERFECT' 'PLAN' 'PUSH' 'READY' 'RICH' 'SAY' 'SCALES' 'SEVEN' 'SLEEP'
 'START' 'TALK' 'TEACH' 'TEN' 'THEATRE' 'TIRED' 'TWO' 'UPWARD' 'WITHOUT'
 'WORK' 'YEAR']",[],['enough'],[],['get'],[],[],[],[]
FZd8Iv9ACVw_7-8-rgb_front.mp4,['actually' 'already' 'help' 'see' 'studded' 'studs' 'tire'],"['AGREE' 'ANGRY' 'ANYTHING' 'ATTACK' 'AUSTRALIA' 'BACK' 'BAD' 'BETTER'
 'BORROW' 'BOY' 'CHAIR' 'CLOSED' 'COME' 'CRUEL' 'DIE' 'EVALUATE' 'EXCITED'
 'FAIL' 'FINISH' 'FLOCK' 'GAME' 'GIRL' 'GO' 'GOOD' 'GOVERNMENT' 'HARD'
 'HEALTHY' 'HEARING' 'HELP' 'HOTEL' 'INATTENTION' 'KEEP' 'LATER' 'LOOK'
 'MAKE' 'MEAL' 'MEET' 'MENTION' 'MIX' 'MOVE' 'MUST' 'PARTNER' 'PERSON'
 'PLAY' 'RANKING' 'RICH' 'RIGHT' 'SAY' 'SCHOOL' 'SHEET' 'SHOULDER' 'SIGN'
 'STAY' 'STUCK' 'SUE' 'SWIM' 'WAIT' 'WALES' 'WITHDRAW']","['help', 'studs', 'tire']","['actually', 'already']",[],"['see', 'studded']",[],[],[],['see']
FZLxEwsoc1c_0-8-rgb_front.mp4,['Alright' 'combat' 'go' 'going' 'naps' 'next' 'stage' 'thing'],"['ALLOW' 'AROUND' 'BAD' 'BRING' 'DAMAGE' 'DANCE' 'DIFFERENT' 'DIVIDE'
 'DOCTOR' 'DOOR' 'DREADFUL' 'DROP' 'FIRE' 'FRIEND' 'FULL' 'GOOD' 'HALF'
 'HAPPY' 'HELP' 'HIDE' 'HOLIDAY' 'INATTENTION' 'INSERT' 'INVOLVE' 'LATE'
 'LITTLE' 'LOOK' 'MARRY' 'MEANING' 'MISS' 'MOVE' 'MUST' 'NEW' 'NEXT' 'ONE'
 'PERHAPS' 'PRAY' 'PROBLEM' 'RIGHT' 'ROTATE' 'SAFE' 'SIGN' 'SINCE' 'SIT'
 'SPOUSE' 'SUNDAY' 'THING' 'TIME' 'TRAIN' 'TRUE' 'TYPICAL' 'WAIT' 'WALK'
 'YES']","['Alright', 'combat', 'naps', 'stage', 'thing']",[],['next'],"['go', 'going']",[],[],[],[]
-g0iPSnQt6w_1-1-rgb_front.mp4,['1' '2' 'back' 'diving' 'expert' 'pike' 'talking'],"['AGE' 'ALCOHOLIC' 'AMERICA' 'ANYWAY' 'ASK' 'BAD' 'BALL' 'BECKON' 'BOAT'
 'BORING' 'BREATHE' 'CHRISTMAS' 'COMMUNICATE' 'DRINK' 'EASY' 'EVALUATE'
 'EXCITED' 'FEEL' 'FRIGHTENED' 'GIRL' 'GROUP' 'HOUSE' 'LIKE' 'LINK'
 'LITTLE' 'LOOK' 'LOVELY' 'MAN' 'MANY' 'MEANING' 'ONE' 'PEOPLE' 'PLAN'
 'PLAY' 'SATURDAY' 'SAY' 'SELF' 'SPEECH' 'SPOUSE' 'SURPRISE' 'TELEVISION'
 'TEN' 'TENT' 'THANK' 'THINK' 'TOMORROW' 'TOUCH' 'UNIT' 'USE' 'WANT'
 'WEDNESDAY' 'WEEK' 'WONDER' 'WORK']","['expert', 'pike']",['back'],[],"['diving', 'talking']",[],"['1', '2']",[],[]
92V3oH63zbQ_16-1-rgb_front.mp4,['break' 'different' 'going' 'swing' 'things'],"['ACCOMMODATION' 'ARRIVE' 'ASK' 'BABY' 'BAD' 'BALL' 'BEDROOM' 'BORN'
 'BREAK' 'CHANGE' 'CLOTHES' 'CONTROL' 'DIFFERENT' 'DRINK' 'DRIVE' 'FAMILY'
 'FEEL' 'FINISH' 'FRIDAY' 'FRIEND' 'GAME' 'GO' 'GOOD' 'GOVERNMENT' 'HARD'
 'HEAR' 'HOLIDAY' 'HOME' 'HOUSE' 'INATTENTION' 'LOOK' 'MAKE' 'MERGE'
 'MUST' 'NORMAL' 'OLYMPIC' 'PERHAPS' 'PICTURE' 'PLAN' 'PLUS' 'PREGNANT'
 'PRISON' 'RELATIONSHIP' 'RELAX' 'RUN' 'SATURDAY' 'SIGN' 'SLEEP' 'STRESS'
 'STRONG' 'STUBBORN' 'STUCK' 'TALK' 'TEACH' 'TELEVISION' 'TICKET' 'TRY'
 'UNIT' 'UNIVERSITY' 'VEHICLE' 'WAIT' 'WANT' 'WAR']","['break', 'things']",[],['different'],"['going', 'swing']",[],[],[],[]
